City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,susuman,62.7833,148.1667,-21.68,96,100,2.24,RU,1702313877
234,taulaga,-11.0553,-171.0883,28.1,81,99,10.64,AS,1702313879
235,seaside,36.6111,-121.8516,14.21,59,0,2.57,US,1702313880
236,kirovskiy,45.0917,133.5136,-19.76,94,100,1.34,RU,1702313884
237,dongola,19.1667,30.4833,23.76,16,82,4.9,SD,1702313887
238,nar'yan-mar,67.6713,53.087,-16.61,94,100,9.39,RU,1702313888
239,dompu,-8.5356,118.4622,25.5,92,100,0.82,ID,1702313892
240,enewetak,11.3474,162.3373,27.91,77,64,8.65,MH,1702313893
241,broken hill,-31.95,141.4333,23.85,44,93,2.96,AU,1702313897
242,sao felix do xingu,-6.6447,-51.995,29.73,71,93,1.97,BR,1702313899
243,kirakira,-10.4544,161.9205,25.42,87,95,1.8,SB,1702313904
244,fort st. john,56.2499,-120.8529,-8.06,73,75,2.57,CA,1702313906
245,kone,-21.0595,164.8658,22.27,76,95,1.46,NC,1702313907
246,tamayo,18.3947,-71.2029,30.84,70,40,6.17,DO,1702313911
247,mahina,-17.5065,-149.489,25.87,78,20,1.03,PF,1702313913
248,namibe,-15.1961,12.1522,22.77,70,70,5.24,AO,1702313916
249,hasaki,35.7333,140.8333,12.38,85,100,3.25,JP,1702313920
250,thinadhoo,0.5333,72.9333,27.86,77,14,2.51,MV,1702313921
251,zuyevka,58.405,51.1335,-23.42,88,89,5.28,RU,1702313925
252,rasony,55.9089,28.8126,-0.24,96,100,4.97,BY,1702313841
253,luganville,-15.5333,167.1667,23.45,70,100,1.98,VU,1702313932
254,kenai,60.5544,-151.2583,-0.95,99,100,6.17,US,1702313933
255,hays,30.0502,-98.0336,16.09,34,1,2.24,US,1702313935
256,zeya,53.75,127.2667,-30.29,91,5,1.67,RU,1702313937
257,talara,-4.5772,-81.2719,28.42,61,0,5.14,PE,1702313939
258,flying fish cove,-10.4217,105.6791,24.82,78,40,3.6,CX,1702313940
259,omdurman,15.6445,32.4777,29.19,8,100,3.86,SD,1702313943
260,vernon,50.2581,-119.2691,2.09,94,94,1.03,CA,1702313947
261,ust-tsilma,65.441,52.1498,-15.22,91,100,5.36,RU,1702313949
262,egilsstadir,65.2653,-14.3948,-4.05,68,0,2.06,IS,1702313950
263,toamasina,-18.1667,49.3833,28.0,83,40,1.54,MG,1702313952
264,puerto baquerizo moreno,-0.9,-89.6,26.55,78,75,5.14,EC,1702313955
265,cockburn town,21.4612,-71.1419,28.98,70,40,6.17,TC,1702313957
266,arno,60.1167,18.6333,-0.68,86,100,5.58,SE,1702313959
267,thompson,55.7435,-97.8558,-8.91,86,100,7.72,CA,1702313961
268,berezovo,63.9381,65.0419,-26.85,89,100,4.93,RU,1702313963
